iter	Logloss
0	0.6869390707
1	0.6819201851
2	0.6772159984
3	0.6718666171
4	0.6662182378
5	0.6595501789
6	0.6549792704
7	0.6497395726
8	0.6450056549
9	0.6396499586
10	0.6341114366
11	0.630945433
12	0.6259853566
13	0.6230925173
14	0.6190910517
15	0.6166173122
16	0.6130424172
17	0.6111553322
18	0.6087573291
19	0.6064956318
20	0.6043244342
21	0.6023788151
22	0.6008249624
23	0.5989169243
24	0.597408008
25	0.5958911907
26	0.5939738407
27	0.5923272688
28	0.590509886
29	0.5889201433
30	0.5875853805
31	0.5860617891
32	0.5848769641
33	0.5836978906
34	0.5822524062
35	0.5808598187
36	0.5784274665
37	0.5772724352
38	0.5750873777
39	0.5740121263
40	0.5730737358
41	0.5711000897
42	0.5700573395
43	0.5692219767
44	0.5680748606
45	0.5661421878
46	0.5653856573
47	0.564700016
48	0.5639276349
49	0.5630903227
50	0.5623953536
51	0.5611225666
52	0.5605796276
53	0.5598888978
54	0.5593630966
55	0.5588340565
56	0.5577822141
57	0.5571155772
58	0.5565270457
59	0.5559040483
60	0.5555281407
61	0.5548888375
62	0.5544149787
63	0.5539580838
64	0.5535713093
65	0.5531437275
66	0.5519879589
67	0.5509893723
68	0.5506589601
69	0.5498300906
70	0.5493952961
71	0.5490195685
72	0.548466294
73	0.547764562
74	0.5471622661
75	0.5468159241
76	0.5464832872
77	0.5462204574
78	0.5458636841
79	0.5451369557
80	0.5445694346
81	0.5438765439
82	0.5435421648
83	0.5432476659
84	0.542957546
85	0.5427223046
86	0.5422215575
87	0.541837384
88	0.5415094978
89	0.5413457788
90	0.5411162658
91	0.5405105332
92	0.5401760558
93	0.5398896309
94	0.5394446694
95	0.5392264327
96	0.5388102957
97	0.5385568089
98	0.5383781394
99	0.5381522617
100	0.5379418563
101	0.5377158385
102	0.5374144392
103	0.5370989744
104	0.5369344413
105	0.53668982
106	0.536545257
107	0.5364644881
108	0.5362918209
109	0.5359631906
110	0.5358012171
111	0.5355469214
112	0.5353783221
113	0.5351289188
114	0.5349116867
115	0.5347320145
116	0.534593564
117	0.5343096418
118	0.5342009104
119	0.5340062572
120	0.5336675176
121	0.5335915355
122	0.5334764332
123	0.5334381161
124	0.5333188773
125	0.5331423205
126	0.5330236146
127	0.53285301
128	0.532713004
129	0.5325634032
130	0.5324713476
131	0.5322540822
132	0.5319640674
133	0.5317959625
134	0.5316001351
135	0.5313705222
136	0.5312595112
137	0.5310848012
138	0.5309243835
139	0.5307649679
140	0.5305921144
141	0.5304844057
142	0.5303026277
143	0.5300230935
144	0.5299045075
145	0.5296142118
146	0.5294734877
147	0.5292767589
148	0.5291886153
149	0.5291008924
150	0.5289965095
151	0.5286811852
152	0.5285647145
153	0.5283977593
154	0.5281083126
155	0.5279687921
156	0.5278849133
157	0.5276430324
158	0.5274401686
159	0.5273297814
160	0.5271969811
161	0.5269609341
162	0.5268439632
163	0.5267409802
164	0.5266216425
165	0.5264905622
166	0.5264083565
167	0.5263045514
168	0.5260646966
169	0.5259523654
170	0.5257933098
171	0.5256783616
172	0.5255806785
173	0.5254216721
174	0.5253136771
175	0.5252078629
176	0.5250845948
177	0.5248413628
178	0.5246660683
179	0.5245805803
180	0.52436953
181	0.5243026491
182	0.524159388
183	0.5239429932
184	0.5237130997
185	0.523583141
186	0.5233325526
187	0.5232579174
188	0.5230460193
189	0.522886097
190	0.5227957356
191	0.5226446449
192	0.5225156102
193	0.522348484
194	0.522201508
195	0.5221015393
196	0.5220039039
197	0.5218249189
198	0.5217000937
199	0.5215606157
200	0.5214481854
201	0.5213568819
202	0.5212402685
203	0.5211445772
204	0.5210582396
205	0.5209097061
206	0.5207920583
207	0.5206946595
208	0.5205982651
209	0.5204769303
210	0.5204035409
211	0.5202148224
212	0.5200934112
213	0.5200109352
214	0.519852486
215	0.5197639135
216	0.5196405425
217	0.519577898
218	0.5195628228
219	0.5194477661
220	0.5193372002
221	0.5192087215
222	0.5191147567
223	0.5190266523
224	0.5188125077
225	0.5186747385
226	0.5185284891
227	0.5183763013
228	0.5182608591
229	0.5182045898
230	0.5181458568
231	0.5179747966
232	0.5177854485
233	0.5175766409
234	0.5174400278
235	0.5172801748
236	0.5170868515
237	0.5169497874
238	0.516885604
239	0.5167620155
240	0.5166367956
241	0.5165211958
242	0.5163343785
243	0.5161870992
244	0.5159410634
245	0.5158633821
246	0.5157391096
247	0.5155903978
248	0.5154733733
249	0.51540844
250	0.5152814082
251	0.5152196854
252	0.5150750059
253	0.5149540046
254	0.5148492805
255	0.5147628965
256	0.5147222068
257	0.514557785
258	0.5143509935
259	0.514097294
260	0.5139547577
261	0.5138129738
262	0.5136549642
263	0.513460535
264	0.5133098747
265	0.5131468769
266	0.513031106
267	0.5129251166
268	0.5128236011
269	0.5126629868
270	0.512492355
271	0.5124121431
272	0.5122284296
273	0.5121419986
274	0.5119703439
275	0.5119190769
276	0.5117419022
277	0.5116389273
278	0.5114667287
279	0.5112595704
280	0.5111114371
281	0.5109829686
282	0.5108936565
283	0.5108157665
284	0.5106438748
285	0.5105255029
286	0.5104014001
287	0.5103477158
288	0.5103002915
289	0.5101299116
290	0.5100545932
291	0.5099712661
292	0.509866998
293	0.5096711267
294	0.5095909344
295	0.5095134712
296	0.5093689114
297	0.5092901004
298	0.5091326528
299	0.5090093106
300	0.5089075219
301	0.5088343836
302	0.5087294397
303	0.5085908677
304	0.5084797715
305	0.5083071402
306	0.5081794705
307	0.5080387772
308	0.5078533308
309	0.507728073
310	0.5075311673
311	0.5074198185
312	0.5073463634
313	0.5072008989
314	0.5071423455
315	0.5069975303
316	0.5069388206
317	0.5067701159
318	0.5067337118
319	0.5066198473
320	0.5065034699
321	0.5063998597
322	0.5062611659
323	0.5061397543
324	0.5060383065
325	0.5059159651
326	0.5058523825
327	0.5057667034
328	0.5056613164
329	0.5054815977
330	0.5053538037
331	0.5052131488
332	0.5051357257
333	0.5050265098
334	0.5048966807
335	0.5046798271
336	0.5045254091
337	0.5044097793
338	0.5042758803
339	0.5042138343
340	0.5040920593
341	0.5040025522
342	0.5037965219
343	0.5036822816
344	0.5035550134
345	0.5034550127
346	0.5033793198
347	0.5033161025
348	0.5031501427
349	0.5030006084
350	0.502852829
351	0.5027149889
352	0.5026334522
353	0.5025867129
354	0.5024588376
355	0.5023227799
356	0.5021422826
357	0.5020578968
358	0.5019650699
359	0.5018064563
360	0.5017305091
361	0.5016532044
362	0.5015240437
363	0.501415316
364	0.5013473731
365	0.5012597707
366	0.5011652953
367	0.5010785792
368	0.5009715928
369	0.5007705099
370	0.500557005
371	0.5004292542
372	0.5003475666
373	0.5002192099
374	0.5000894483
375	0.4998976211
376	0.4997740008
377	0.499667455
378	0.4996132762
379	0.4995035889
380	0.4994310477
381	0.4993546732
382	0.4991922327
383	0.4990013543
384	0.4988855505
385	0.498806786
386	0.4986966744
387	0.4985946741
388	0.4984698081
389	0.4984380973
390	0.4983773669
391	0.4981798521
392	0.4980682919
393	0.4979117686
394	0.4977287056
395	0.4976133819
396	0.4974657586
397	0.497370386
398	0.4972333058
399	0.4970774702
400	0.4968770322
401	0.4966935356
402	0.4965884417
403	0.496411441
404	0.4963077403
405	0.4960888529
406	0.4958806679
407	0.4957682031
408	0.4956605927
409	0.4955969892
410	0.4954351684
411	0.4953526597
412	0.4952348519
413	0.495137074
414	0.494951029
415	0.4947734845
416	0.4945948702
417	0.494462178
418	0.4942682836
419	0.4941141193
420	0.4939805795
421	0.4938802682
422	0.4938449554
423	0.4935938642
424	0.4934916622
425	0.4933345956
426	0.493145204
427	0.4930478363
428	0.4929459281
429	0.4928123426
430	0.4926606859
431	0.4925290199
432	0.4923546877
433	0.4921337428
434	0.4920259892
435	0.4918194129
436	0.4917041188
437	0.4916568365
438	0.4915535194
439	0.4914374286
440	0.491266397
441	0.4911158646
442	0.4908639654
443	0.4907387879
444	0.4906000487
445	0.4904265324
446	0.490306263
447	0.4902081488
448	0.4900504135
449	0.4899295485
450	0.4897623048
451	0.4896559148
452	0.48953391
453	0.489413952
454	0.4892565982
455	0.4890488526
456	0.4888821458
457	0.4886890272
458	0.4884929992
459	0.4883313425
460	0.4881404557
461	0.4879903424
462	0.4878237816
463	0.4877068673
464	0.4874835388
465	0.48734935
466	0.4871383378
467	0.487004855
468	0.4868986813
469	0.4868065905
470	0.4866892615
471	0.4865345128
472	0.4863280361
473	0.4861566334
474	0.4859994674
475	0.4858403142
476	0.4857198248
477	0.4855105413
478	0.4853820724
479	0.4852031227
480	0.4849384146
481	0.4848068108
