date,temperature
01/01/2009,-6.810629371
02/01/2009,-3.360486111
03/01/2009,5.435694444
04/01/2009,7.283888889
05/01/2009,12.69006944
06/01/2009,15.20159722
07/01/2009,20.121875
08/01/2009,18.86479167
09/01/2009,21.28972222
10/01/2009,11.93784722
11/01/2009,3.210902778
12/01/2009,3.682430556
13/01/2009,-1.678194444
14/01/2009,-4.687777778
15/01/2009,-0.060972222
16/01/2009,-2.815763889
17/01/2009,0.039652778
18/01/2009,2.562847222
19/01/2009,2.524791667
20/01/2009,3.183541667
21/01/2009,-1.548055556
22/01/2009,-1.125694444
23/01/2009,1.460416667
24/01/2009,2.580347222
25/01/2009,0.984722222
26/01/2009,-3.284722222
27/01/2009,-1.344236111
28/01/2009,-2.493819444
29/01/2009,-2.371041667
30/01/2009,-2.396041667
31/01/2009,-2.001666667
01/02/2009,-3.728194444
02/02/2009,-0.729722222
03/02/2009,5.433819444
04/02/2009,10.62583333
05/02/2009,12.87756944
06/02/2009,17.50020833
07/02/2009,21.10069444
08/02/2009,20.09416667
09/02/2009,19.00138889
10/02/2009,8.827152778
11/02/2009,6.373680556
12/02/2009,0.947430556
13/02/2009,-1.345138889
14/02/2009,-3.619722222
15/02/2009,-4.306388889
16/02/2009,0.182013889
17/02/2009,-2.414236111
18/02/2009,-4.156041667
19/02/2009,-4.658125
20/02/2009,0.242986111
21/02/2009,1.07875
22/02/2009,1.915763889
23/02/2009,2.443125
24/02/2009,-0.348263889
25/02/2009,1.443680556
26/02/2009,3.973402778
27/02/2009,4.852569444
28/02/2009,6.567291667
01/03/2009,-5.271736111
02/03/2009,-0.043680556
03/03/2009,3.935416667
04/03/2009,12.84194444
05/03/2009,13.19
06/03/2009,10.93930556
07/03/2009,21.85944444
08/03/2009,17.196875
09/03/2009,16.20291667
10/03/2009,10.73555556
11/03/2009,5.777013889
12/03/2009,3.923402778
13/03/2009,6.547638889
14/03/2009,5.266458333
15/03/2009,6.188402778
16/03/2009,6.146388889
17/03/2009,6.388055556
18/03/2009,3.901944444
19/03/2009,2.707569444
20/03/2009,0.095486111
21/03/2009,1.732361111
22/03/2009,3.869652778
23/03/2009,5.707916667
24/03/2009,1.254930556
25/03/2009,-0.256805556
26/03/2009,4.225069444
27/03/2009,5.914722222
28/03/2009,5.385138889
29/03/2009,5.857986111
30/03/2009,4.617777778
31/03/2009,4.680694444
01/04/2009,-1.375208333
02/04/2009,-1.016527778
03/04/2009,4.606111111
04/04/2009,13.43604167
05/04/2009,8.107569444
06/04/2009,9.306527778
07/04/2009,21.29236111
08/04/2009,17.25909722
09/04/2009,14.0325
10/04/2009,11.76222222
11/04/2009,5.354652778
12/04/2009,2.817152778
13/04/2009,12.79076389
14/04/2009,13.65173611
15/04/2009,14.94298611
16/04/2009,14.75409722
17/04/2009,8.090833333
18/04/2009,7.445486111
19/04/2009,10.52840278
20/04/2009,10.85479167
21/04/2009,11.10881944
22/04/2009,8.520277778
23/04/2009,6.383958333
24/04/2009,9.899722222
25/04/2009,14.38076389
26/04/2009,13.90729167
27/04/2009,15.68555556
28/04/2009,13.11763889
29/04/2009,9.359583333
30/04/2009,12.30506944
01/05/2009,-4.867152778
02/05/2009,1.839513889
03/05/2009,2.216527778
04/05/2009,11.01284722
05/05/2009,6.822847222
06/05/2009,9.310694444
07/05/2009,20.61041667
08/05/2009,18.06229167
09/05/2009,12.39965278
10/05/2009,10.35763889
11/05/2009,6.10125
12/05/2009,0.917083333
13/05/2009,11.82256944
14/05/2009,12.2475
15/05/2009,14.56381944
16/05/2009,13.085625
17/05/2009,15.73145833
18/05/2009,15.54986111
19/05/2009,15.38291667
20/05/2009,16.88979167
21/05/2009,16.80625
22/05/2009,13.37430556
23/05/2009,13.40673611
24/05/2009,18.65694444
25/05/2009,18.5725
26/05/2009,19.945
27/05/2009,12.92076389
28/05/2009,11.96611111
29/05/2009,11.26930556
30/05/2009,10.67791667
31/05/2009,13.56819444
01/06/2009,-15.48284722
02/06/2009,2.575763889
03/06/2009,3.949513889
04/06/2009,11.96791667
05/06/2009,10.53333333
06/06/2009,8.150763889
07/06/2009,17.57048611
08/06/2009,19.81604167
09/06/2009,12.45923611
10/06/2009,14.64659722
11/06/2009,6.322291667
12/06/2009,6.259722222
13/06/2009,13.369375
14/06/2009,16.1
15/06/2009,16.25284722
16/06/2009,12.86201389
17/06/2009,14.35256944
18/06/2009,17.28451389
19/06/2009,15.91388889
20/06/2009,13.45138889
21/06/2009,11.79354167
22/06/2009,11.73756944
23/06/2009,13.87569444
24/06/2009,16.12020833
25/06/2009,14.47409722
26/06/2009,17.37006944
27/06/2009,16.32409722
28/06/2009,17.346875
29/06/2009,18.01694444
30/06/2009,20.16305556
01/07/2009,-15.734375
02/07/2009,1.401180556
03/07/2009,1.700625
04/07/2009,12.81243056
05/07/2009,14.19354167
06/07/2009,12.03958333
07/07/2009,15.97895833
08/07/2009,21.35006944
09/07/2009,14.61375
10/07/2009,18.60576389
11/07/2009,4.510486111
12/07/2009,5.101180556
13/07/2009,20.17472222
14/07/2009,19.89131944
15/07/2009,20.35930556
16/07/2009,20.84472222
17/07/2009,19.87194444
18/07/2009,15.09979167
19/07/2009,14.93791667
20/07/2009,15.33618056
21/07/2009,18.57069444
22/07/2009,21.63423611
23/07/2009,20.63381944
24/07/2009,16.73159722
25/07/2009,15.10430556
26/07/2009,16.66048611
27/07/2009,20.30736111
28/07/2009,18.87430556
29/07/2009,19.25111111
30/07/2009,18.68965278
31/07/2009,15.69076389
01/08/2009,-9.609166667
02/08/2009,1.1025
03/08/2009,2.807638889
04/08/2009,12.85694444
05/08/2009,13.23180556
06/08/2009,14.51486111
07/08/2009,14.74951389
08/08/2009,21.14201389
09/08/2009,16.745625
10/08/2009,15.33239437
11/08/2009,4.141736111
12/08/2009,5.644375
13/08/2009,17.16180556
14/08/2009,15.98555556
15/08/2009,19.0475
16/08/2009,21.99743056
17/08/2009,21.65895833
18/08/2009,18.67597222
19/08/2009,20.17659722
20/08/2009,25.30284722
21/08/2009,19.55993056
22/08/2009,15.94541667
23/08/2009,16.14152778
24/08/2009,19.28527778
25/08/2009,20.49763889
26/08/2009,19.37423611
27/08/2009,20.37111111
28/08/2009,20.01319444
29/08/2009,15.18604167
30/08/2009,13.71180556
31/08/2009,16.80861111
01/09/2009,-12.30145833
02/09/2009,-0.205416667
03/09/2009,3.841041667
04/09/2009,12.50555556
05/09/2009,13.12430556
06/09/2009,14.81256944
07/09/2009,14.63659722
08/09/2009,19.97076389
09/09/2009,17.5
10/09/2009,8.024791667
11/09/2009,3.552638889
12/09/2009,4.598125
13/09/2009,11.09763889
14/09/2009,10.90819444
15/09/2009,13.9475
16/09/2009,14.73888889
17/09/2009,13.91048611
18/09/2009,14.35506944
19/09/2009,15.05173611
20/09/2009,16.46666667
21/09/2009,15.03736111
22/09/2009,16.056875
23/09/2009,15.67173611
24/09/2009,13.3175
25/09/2009,10.89597222
26/09/2009,10.79048611
27/09/2009,11.47402778
28/09/2009,11.93395833
29/09/2009,14.04333333
30/09/2009,10.81472222
01/10/2009,-10.72826389
02/10/2009,2.501736111
03/10/2009,3.628055556
04/10/2009,14.26215278
05/10/2009,13.90736111
06/10/2009,14.46854167
07/10/2009,12.70777778
08/10/2009,18.68666667
09/10/2009,15.01284722
10/10/2009,10.10645833
11/10/2009,4.204930556
12/10/2009,4.00625
13/10/2009,4.617083333
14/10/2009,2.384097222
15/10/2009,1.243402778
16/10/2009,3.919583333
17/10/2009,3.959305556
18/10/2009,3.91875
19/10/2009,2.887013889
20/10/2009,1.323333333
21/10/2009,2.522222222
22/10/2009,2.577916667
23/10/2009,6.439791667
24/10/2009,7.475416667
25/10/2009,9.271527778
26/10/2009,8.065625
27/10/2009,10.44666667
28/10/2009,9.549791667
29/10/2009,8.715277778
30/10/2009,6.229583333
31/10/2009,1.454027778
01/11/2009,-8.681666667
02/11/2009,0.274791667
03/11/2009,2.926319444
04/11/2009,15.2625
05/11/2009,10.49020833
06/11/2009,13.32229167
07/11/2009,12.45416667
08/11/2009,18.15145833
09/11/2009,15.17090278
10/11/2009,10.52534722
11/11/2009,5.290555556
12/11/2009,1.419583333
13/11/2009,8.440138889
14/11/2009,10.07756944
15/11/2009,9.699513889
16/11/2009,7.326527778
17/11/2009,9.412986111
18/11/2009,8.269583333
19/11/2009,9.205763889
20/11/2009,8.08125
21/11/2009,9.078263889
22/11/2009,10.61645833
23/11/2009,9.036111111
24/11/2009,9.579027778
25/11/2009,10.92951389
26/11/2009,8.046180556
27/11/2009,7.162152778
28/11/2009,6.894375
29/11/2009,8.692708333
30/11/2009,5.038819444
01/12/2009,-5.384861111
02/12/2009,-1.432708333
03/12/2009,2.976111111
04/12/2009,14.096875
05/12/2009,10.84486111
06/12/2009,11.07715278
07/12/2009,16.04715278
08/12/2009,17.936875
09/12/2009,13.81284722
10/12/2009,6.733125
11/12/2009,4.559027778
12/12/2009,-0.037013889
13/12/2009,-2.922569444
14/12/2009,-3.671111111
15/12/2009,-2.45125
16/12/2009,-3.853194444
17/12/2009,-6.976875
18/12/2009,-10.73625
19/12/2009,-15.98493056
20/12/2009,-12.19319444
21/12/2009,-3.248888889
22/12/2009,3.191319444
23/12/2009,-0.073055556
24/12/2009,-0.268055556
25/12/2009,3.690416667
26/12/2009,2.002986111
27/12/2009,-0.545069444
28/12/2009,2.011944444
29/12/2009,-2.211875
30/12/2009,1.119930556
31/12/2009,-1.282291667
01/01/2010,-3.819236111
02/01/2010,-2.27625
03/01/2010,4.168680556
04/01/2010,5.149166667
05/01/2010,12.571875
06/01/2010,9.696666667
07/01/2010,22.53219512
08/01/2010,20.78034722
09/01/2010,11.76305556
10/01/2010,9.953541667
11/01/2010,7.3775
12/01/2010,-11.01277778
13/01/2010,-9.431736111
14/01/2010,-2.341527778
15/01/2010,-2.103472222
16/01/2010,-2.709791667
17/01/2010,-0.041319444
18/01/2010,2.249513889
19/01/2010,0.762083333
20/01/2010,-0.222777778
21/01/2010,-6.013402778
22/01/2010,-6.487013889
23/01/2010,-5.828472222
24/01/2010,-5.601180556
25/01/2010,-5.586111111
26/01/2010,-11.84291667
27/01/2010,-11.23770833
28/01/2010,-0.539166667
29/01/2010,0.028611111
30/01/2010,-2.180763889
31/01/2010,-4.670763889
01/02/2010,-5.110555556
02/02/2010,-1.869930556
03/02/2010,1.757708333
04/02/2010,4.511597222
05/02/2010,10.15298611
06/02/2010,10.76284722
07/02/2010,24.47675862
08/02/2010,18.94020833
09/02/2010,12.75131944
10/02/2010,11.33631944
11/02/2010,6.487986111
12/02/2010,-11.38354167
13/02/2010,-4.790625
14/02/2010,-4.796041667
15/02/2010,-4.657777778
16/02/2010,-5.632638889
17/02/2010,-5.175902778
18/02/2010,1.672708333
19/02/2010,1.471527778
20/02/2010,0.874305556
21/02/2010,-0.276944444
22/02/2010,2.457986111
23/02/2010,3.830625
24/02/2010,2.875277778
25/02/2010,5.845416667
26/02/2010,6.734444444
27/02/2010,4.960277778
28/02/2010,7.890347222
01/03/2010,-4.702222222
02/03/2010,0.568611111
03/03/2010,1.224444444
04/03/2010,6.469375
05/03/2010,10.73715278
06/03/2010,15.63
07/03/2010,25.76263889
08/03/2010,15.60638889
09/03/2010,13.18444444
10/03/2010,13.29666667
11/03/2010,10.40486111
12/03/2010,-11.81208333
13/03/2010,2.430416667
14/03/2010,3.587777778
15/03/2010,1.583125
16/03/2010,2.523958333
17/03/2010,5.762569444
18/03/2010,7.2925
19/03/2010,10.05479167
20/03/2010,11.70416667
21/03/2010,11.05277778
22/03/2010,7.843958333
23/03/2010,7.815138889
24/03/2010,9.440069444
25/03/2010,13.03555556
26/03/2010,12.1675
27/03/2010,7.553333333
28/03/2010,7.707152778
29/03/2010,8.790625
30/03/2010,11.83534722
31/03/2010,7.196458333
01/04/2010,-6.132569444
02/04/2010,0.269236111
03/04/2010,-2.09625
04/04/2010,8.471666667
05/04/2010,7.724583333
06/04/2010,15.74180556
07/04/2010,21.89930556
08/04/2010,16.17756944
09/04/2010,11.093125
10/04/2010,11.15833333
11/04/2010,14.46270833
12/04/2010,-9.804444444
13/04/2010,8.063055556
14/04/2010,5.843819444
15/04/2010,4.57375
16/04/2010,5.930486111
17/04/2010,7.110069444
18/04/2010,10.02909722
19/04/2010,9.167083333
20/04/2010,10.78902778
21/04/2010,5.191319444
22/04/2010,5.428472222
23/04/2010,7.158472222
24/04/2010,10.38520833
25/04/2010,13.80770833
26/04/2010,12.09875
27/04/2010,12.125625
28/04/2010,12.29527778
29/04/2010,16.26402778
30/04/2010,16.89784722
01/05/2010,-10.26340278
02/05/2010,-0.679166667
03/05/2010,-3.318819444
04/05/2010,6.703819444
05/05/2010,6.508611111
06/05/2010,18.14215278
07/05/2010,20.66194444
08/05/2010,16.5525
09/05/2010,10.10680556
10/05/2010,12.66729167
11/05/2010,13.14701389
12/05/2010,-2.273055556
13/05/2010,7.561458333
14/05/2010,6.844930556
15/05/2010,5.676944444
16/05/2010,9.668611111
17/05/2010,10.38694444
18/05/2010,9.252222222
19/05/2010,7.247847222
20/05/2010,9.747152778
21/05/2010,13.20291667
22/05/2010,13.694375
23/05/2010,16.73354167
24/05/2010,16.534375
25/05/2010,14.09722222
26/05/2010,10.87958333
27/05/2010,12.00590278
28/05/2010,12.90152778
29/05/2010,13.70180556
30/05/2010,13.08944444
31/05/2010,9.135625
01/06/2010,-9.028194444
02/06/2010,-0.031597222
03/06/2010,-3.962083333
04/06/2010,7.878611111
05/06/2010,5.301875
06/06/2010,20.89486111
07/06/2010,16.13145833
08/06/2010,14.06895833
09/06/2010,10.49305556
